epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,23.2938,0.14824,0,0.93827,13.1068,0.000324074,0.000324074,0.000324074
2,46.3789,0.1597,0,0.8642,17.0776,0.000598241,0.000598241,0.000598241
3,66.8511,0.1812,0,0.95062,17.7319,0.000812407,0.000812407,0.000812407
4,90.5261,0.1935,0,0.88889,21.0215,0.00073,0.00073,0.00073
5,113.474,0.14942,0,0.88889,20.2322,0.00064,0.00064,0.00064
6,134.551,0.17002,0,0.88889,19.5002,0.00055,0.00055,0.00055
7,159.385,0.14105,0,0.95062,20.4543,0.00046,0.00046,0.00046
8,184.604,0.15951,0,0.96296,21.6364,0.00037,0.00037,0.00037
9,205.459,0.10703,0,0.93827,23.0007,0.00028,0.00028,0.00028
10,226.243,0.10088,0,0.97531,21.742,0.00019,0.00019,0.00019
11,246.81,0.06188,0,0.97531,20.855,0.0001,0.0001,0.0001
