epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,114.44,1.52223,0.68129,0.97921,0.9626,0.00033157,0.00033157,0.00033157
2,225.737,1.12495,0.72286,0.98845,0.79334,0.000621019,0.000621019,0.000621019
3,331.13,1.07242,0.72748,0.99076,0.76732,0.000866469,0.000866469,0.000866469
4,429.67,0.99305,0.75751,0.99769,0.75527,0.000802,0.000802,0.000802
5,532.785,0.94221,0.75751,1,0.66831,0.000736,0.000736,0.000736
6,634.162,0.91258,0.78753,0.99307,0.66285,0.00067,0.00067,0.00067
7,732.973,0.82235,0.83834,0.99769,0.49347,0.000604,0.000604,0.000604
8,828.757,0.76902,0.82679,0.99769,0.52756,0.000538,0.000538,0.000538
9,932.501,0.71674,0.83834,0.99769,0.49899,0.000472,0.000472,0.000472
10,1024.06,0.678,0.8545,0.99769,0.44994,0.000406,0.000406,0.000406
11,1112.62,0.63114,0.84527,1,0.41856,0.00034,0.00034,0.00034
12,1212.01,0.60729,0.85912,1,0.39442,0.000274,0.000274,0.000274
13,1309.08,0.56554,0.86836,1,0.39536,0.000208,0.000208,0.000208
14,1399.2,0.54463,0.88222,1,0.37199,0.000142,0.000142,0.000142
15,1491.73,0.49407,0.88453,1,0.35318,7.6e-05,7.6e-05,7.6e-05
