epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,177.726,1.30056,0.75982,0.99769,0.64203,0.00033157,0.00033157,0.00033157
2,357.147,0.71095,0.84065,1,0.42513,0.000651738,0.000651738,0.000651738
3,541.111,0.58679,0.8545,1,0.42318,0.000958706,0.000958706,0.000958706
4,721.639,0.54532,0.88453,1,0.3357,0.0009406,0.0009406,0.0009406
5,903.285,0.48831,0.89607,1,0.32747,0.0009208,0.0009208,0.0009208
6,1098.32,0.42437,0.87067,0.99538,0.39046,0.000901,0.000901,0.000901
7,1299.81,0.38045,0.89145,1,0.35078,0.0008812,0.0008812,0.0008812
8,1497.83,0.37102,0.92379,1,0.23725,0.0008614,0.0008614,0.0008614
9,1714.19,0.32922,0.89376,1,0.32544,0.0008416,0.0008416,0.0008416
10,1920.85,0.31692,0.9261,1,0.24853,0.0008218,0.0008218,0.0008218
11,2125.95,0.28863,0.90993,1,0.28475,0.000802,0.000802,0.000802
12,2340.07,0.26544,0.90762,1,0.30886,0.0007822,0.0007822,0.0007822
13,2542.95,0.24402,0.91455,1,0.26559,0.0007624,0.0007624,0.0007624
14,2743.72,0.22654,0.92379,1,0.26059,0.0007426,0.0007426,0.0007426
15,2958.7,0.21972,0.91686,1,0.29377,0.0007228,0.0007228,0.0007228
16,3153.34,0.19645,0.93072,1,0.21205,0.000703,0.000703,0.000703
17,3344.5,0.19035,0.91917,1,0.26454,0.0006832,0.0006832,0.0006832
18,3521.32,0.17804,0.92841,1,0.2861,0.0006634,0.0006634,0.0006634
19,3694.64,0.20613,0.93533,1,0.24989,0.0006436,0.0006436,0.0006436
20,3868.65,0.17305,0.93533,1,0.23471,0.0006238,0.0006238,0.0006238
21,4040.68,0.14559,0.93303,1,0.28977,0.000604,0.000604,0.000604
22,4215.39,0.15505,0.91917,1,0.27314,0.0005842,0.0005842,0.0005842
23,4387,0.14608,0.90993,0.99769,0.29264,0.0005644,0.0005644,0.0005644
24,4557.83,0.1442,0.92379,0.99769,0.26042,0.0005446,0.0005446,0.0005446
25,4723.22,0.13697,0.93303,0.99769,0.29337,0.0005248,0.0005248,0.0005248
26,4892.62,0.13492,0.94919,1,0.23303,0.000505,0.000505,0.000505
27,5070.8,0.1131,0.93533,1,0.25182,0.0004852,0.0004852,0.0004852
28,5786.33,0.12912,0.9515,1,0.21604,0.0004654,0.0004654,0.0004654
29,5969.14,0.1085,0.94226,1,0.24571,0.0004456,0.0004456,0.0004456
30,6158.02,0.11772,0.94226,1,0.19921,0.0004258,0.0004258,0.0004258
31,6358.28,0.11459,0.93764,1,0.24963,0.000406,0.000406,0.000406
32,6558.32,0.09636,0.94688,1,0.23262,0.0003862,0.0003862,0.0003862
33,6758.36,0.08371,0.93303,1,0.2403,0.0003664,0.0003664,0.0003664
34,6961.51,0.09964,0.9515,1,0.2068,0.0003466,0.0003466,0.0003466
35,7218.44,0.08275,0.94688,1,0.2133,0.0003268,0.0003268,0.0003268
36,7421.43,0.0977,0.94457,1,0.19723,0.000307,0.000307,0.000307
37,7629.57,0.07446,0.93995,1,0.20938,0.0002872,0.0002872,0.0002872
38,7827.3,0.09236,0.9515,1,0.21441,0.0002674,0.0002674,0.0002674
